position,module,section,number,text
A,core,meaning,1,"The Magician

You rarely come across as someone who waits for permission. Whether you're discussing an idea, solving a problem or stepping into a new situation, people tend to sense movement around you. There is often an assumption that you know what you're doing, even during moments when you're still figuring things out yourself.

Others frequently see capability before they see vulnerability. They notice your resourcefulness, your ability to adapt and your tendency to make things happen rather than talk about them endlessly. Some find this inspiring. Others feel challenged by it because your presence naturally highlights where they have been hesitating.

People often walk away feeling that progress is possible."
A,core,meaning,2,"The High Priestess

Not everyone can explain why they trust you, but many do. There is often a calm, observant quality about you that encourages people to lower their guard. While others rush to fill silence, you seem comfortable allowing space for people to reveal who they really are.

You don't always say the most in a conversation, yet people often remember how understood they felt afterwards. Many find themselves sharing thoughts, feelings and concerns they hadn't planned to discuss. There is a sense that you notice things others miss.

Your presence often creates safety before words ever do."
A,core,meaning,3,"The Empress

People tend to relax around you without realising it. There is often a feeling of warmth, acceptance and emotional generosity that surrounds your interactions. You have a way of making others feel welcomed rather than evaluated.

Many experience you as someone who brings life to situations, relationships and ideas. Whether through encouragement, humour, creativity or simple kindness, you often leave people feeling better than you found them.

The strongest impression you leave is rarely power.

It is usually comfort."
A,core,meaning,4,"The Emperor

Responsibility seems to find you whether you ask for it or not. People often look towards you when decisions need making, problems need solving or situations become uncertain. There is something about your energy that suggests stability.

Others frequently assume you are stronger than you feel. They see someone capable of carrying weight, maintaining order and staying focused under pressure. While some find this reassuring, others can feel slightly intimidated because you appear difficult to shake.

You give people the impression that things will be handled."
A,core,meaning,5,"The Teacher - Hierophant

You often come across as someone who has learned important lessons through experience. People naturally seek your perspective because they sense that you look beyond surface-level explanations.

There is usually a feeling that you understand how things connect together. Whether discussing relationships, work, personal growth or life itself, you often help people make sense of situations that previously felt confusing.

The influence you have isn't usually loud.

It comes from the feeling that your words carry weight because you've lived what you're talking about."
A,core,meaning,6,"The Lovers

People rarely feel like a stranger for long around you. There is a natural ability to connect that makes others feel included rather than tolerated. Conversations tend to flow easily because you have a genuine interest in understanding people rather than simply waiting for your turn to speak.

Many experience you as approachable, warm and emotionally available. You often become the person who brings people together, smooths tensions or helps others feel comfortable in unfamiliar situations.

The impression you leave is not that of someone trying to impress people.

It is the feeling of being accepted."
A,core,meaning,7,"The Chariot

There is often a sense that you're going somewhere, even when you're standing still. People quickly notice your drive, your focus and your unwillingness to sit around waiting for life to change by itself.

Others frequently see determination before they see vulnerability. They notice your ability to push through obstacles, stay committed to goals and keep moving when many people would have given up.

Some find this inspiring.

Others feel exhausted just watching you.

Your presence tends to remind people that progress requires action."
A,core,meaning,8,"Justice

Very few people remain superficial around you for long. There is something about your presence that encourages honesty and quietly exposes pretence. Whether intentionally or not, you often bring conversations back to what is fair, what is true and what actually matters.

People tend to trust your judgement because they sense that you value integrity over popularity. They may not always like what you have to say, but they usually believe it comes from a genuine place.

The impression you leave is one of fairness, clarity and personal responsibility."
A,core,meaning,9,"The Hermit

You rarely compete for attention, yet people often remember you long after louder personalities have faded into the background. There is a thoughtful quality about you that suggests you spend more time observing life than performing for it.

Others often sense depth beneath the surface. Even when you say very little, people frequently assume there is far more going on internally than you are revealing.

Your influence tends to come through insight rather than volume.

The impression you leave is that of someone who values understanding over approval."
A,core,meaning,10,"Wheel of Fortune

Life rarely appears static around you. People often get the sense that you've lived several different lives within a single lifetime. There is usually a flexibility in the way you approach challenges that allows you to adapt where others become stuck.

Others frequently see you as someone who can recover, reinvent and find opportunity where most people only see disruption. You often carry an energy that feels open to possibility rather than attached to certainty.

The impression you leave is one of movement.

People tend to feel that change becomes easier when you're around."
